"Location,""Name"",""Type"",""Info"",""Category"",""Rating"",""Tags"",""Number of places"",""Price"""
"37.2374 115.8034,""Car&Go"",""Мотель"",""2, ул. Роторная, телефон +79128394822"",2,4.2,""#cashless"",30,""1000 одноместный, 1300 двухместный"""
"37.2334 115.8090,""Лилия"",""Хостел"",""14, ул. Баумана, телефон 2882838"",2,4.5,""#cashless"",12,""500 ночь"""
"37.2374 115.8090,""Татарстан"",""Гостиница"",""12, ул. Петербургская, телефон 2302299"",4,4.7,""#forkids #cashless "",50,""1500 одноместный, 2300 двухместный """
"37.2374 115.8010,@Зилант,@гостиница,@420141, Казань, Юлиуса Фучика, 82,  +7 (843) 275-02-44;+7 (843) 275-02-53; ,@5,@3,6886321517382,@#forkids #cashless,@92,@1266 одноместный, 1766 двухместный"
"37.2374 115.8111,@Маяк,@гостиница,@422544, Зеленодольск, Рогачёва, 34Б к1,  +7 (84371) 5-07-45;+7 (84371) 5-14-06;+7 (84371) 5-14-39; ,@2,@1,00107894022575,@#cashless,@109,@1984 одноместный, 2484 двухместный"
"37.2374 115.8212,@Залесный,@гостиничный комплекс,@420076, Казань, Залесная, 5,  +7 (843) 555-95-35; ,@5,@3,6968811746159,@#cashless,@80,@1512 одноместный, 2012 двухместный"
"37.2374 115.8313,@Сити Хостел Казань,@хостел,@420107, Казань, Островского, 67,  +7 (843) 514-88-98; +7-987-225-85-91,@1,@2,13392920476141,@#cashless,@116,@650 одноместный, 1150 двухместный"
"37.2374 115.8414,@Ял,@гостиница,@420059, Казань, Оренбургский тракт, 20,  +7 (843) 277-62-68;8-800-250-62-68; ,@5,@1,2648288363336,@#cashless,@15,@741 одноместный, 1241 двухместный"
"37.2374 115.8515,@Ял на Калинина,@мини-отель,@420043, Казань, Калинина, 69,  +7 (843) 238-32-32; +7-966-250-23-13,@1,@3,44540773719249,@#cashless,@118,@1829 одноместный, 2329 двухместный"
"37.2374 115.8616,@Ryan Johnson,@отель,@420030, Казань, Урицкого, 15,  +7 (843) 210-16-45; ,@5,@2,60922415441032,@#cashless,@25,@2104 одноместный, 2604 двухместный"
37.2374 115.8717,@Sibgat Apartments,@апарт-отель,@421001, Казань, Алексея Козина, 3а,  +7-987-225-07-25,@2,@2,60724370122449,@#forkids #cashless,@50,@1767 одноместный, 2267 двухместный
"37.2374 115.8818,@Ирбис Транзит,@гостиничный комплекс,@Казань, Федеральная трасса М7 847 км, 1,  +7 (843) 260-39-39; ,@3,@2,16590483409567,@#cashless,@112,@1188 одноместный, 1688 двухместный"
"37.2374 115.8919,@Арго,@гостиница,@420006, Казань, Рахимова, 59г,  +7 (843) 259-86-84; +7-960-048-21-49,@3,@1,31181171212199,@#forkids #cashless,@46,@1541 одноместный, 2041 двухместный"
"37.2374 115.9020,@Первый Поезд,@гостиница,@424006, Йошкар-Ола, Деповская, 20,  +7 (8362) 39-72-76;+7 (8362) 43-80-43; ,@1,@3,58448208293903,@#forkids #cashless,@75,@1049 одноместный, 1549 двухместный"
"37.2374 115.9121,@Рубин,@база отдыха,@424003, Йошкар-Ола, Суворова, 12а,  +7 (8362) 45-53-04;+7 (8362) 68-32-23; ,@1,@3,57217874214283,@#cashless,@108,@1843 одноместный, 2343 двухместный"
"37.2374 115.9222,@Семейный чемодан,@отель,@424002, Йошкар-Ола, Якова Эшпая, 156а,  +7 (8362) 30-40-11;+7 (8362) 30-40-33; ,@1,@1,54783585252967,@#cashless,@110,@2267 одноместный, 2767 двухместный"
37.2374 115.9323,@Семейный чемодан,@хостел,@424003, Йошкар-Ола, Ленинский проспект, 68,  +7-937-935-29-39,@5,@2,89596149275368,@#cashless,@37,@2157 одноместный, 2657 двухместный
37.2374 115.9424,@Комфорт,@хостел,@424007, Йошкар-Ола, Строителей, 95 к103,  +7-987-734-98-07,@3,@1,92724021731134,@#cashless,@147,@2470 одноместный, 2970 двухместный
37.2374 115.9525,@Хостел на Чехова,@хостел,@424031, Йошкар-Ола, Чехова, 70,  +7-917-071-33-99,@1,@2,50422930672475,@#cashless,@97,@2212 одноместный, 2712 двухместный
"37.2374 115.9626,@Сайвер,@гостиница,@424003, Йошкар-Ола, Зарубина, 35,  +7 (8362) 386-886;+7 (8362) 386-996; ,@4,@2,83606802657643,@#cashless,@78,@1572 одноместный, 2072 двухместный"
"37.2374 115.9727,@Arabica,@гостиница,@424004, Йошкар-Ола, Льва Толстого, 60,  +7 (8362) 33-02-10; +7-927-883-02-10,@5,@2,26500238883201,@#forkids #cashless,@82,@975 одноместный, 1475 двухместный"
"37.2374 115.9828,@Flat-Luxe,@отель,@424007, Йошкар-Ола, Строителей, 54г,  +7 (8362) 50-77-77;+7 (8362) 51-55-55; ,@2,@3,60944392242908,@#cashless,@143,@588 одноместный, 1088 двухместный"
"37.2374 115.9929,@MariLand,@база отдыха,@424006, Йошкар-Ола, Строителей, 110,  +7 (8362) 404-405; ,@1,@3,77435025834969,@#cashless,@127,@1567 одноместный, 2067 двухместный"
"37.2374 115.10030,@Голубой вагон,@гостиница,@426009, Ижевск, Ухтомского, 26,  +7 (3412) 37-95-66; +7-922-515-56-24,@5,@2,15311983396546,@#cashless,@5,@1721 одноместный, 2221 двухместный"
"37.2374 115.10131,@Охотничий рай,@гостиница,@426011, Ижевск, Майская, 35а,  +7 (3412) 64-72-33; ,@1,@1,11360601568262,@#cashless,@75,@1094 одноместный, 1594 двухместный"
"37.2374 115.10232,@Премьер-Отель,@гостиница,@426008, Ижевск, Щорса, 107,  +7 (3412) 42-33-00;+7 (3412) 42-42-25; ,@5,@1,892385905278,@#forkids #cashless,@54,@2050 одноместный, 2550 двухместный"
37.2374 115.10333,@Perina,@гостиница,@426003, Ижевск, Карла Маркса, 124,  +7-919-919-99-55,@4,@3,4406627846148,@#cashless,@47,@772 одноместный, 1272 двухместный
"37.2374 115.10434,@Околица,@отель,@426021, Ижевск, Живсовхозная, 23а,  +7 (3412) 71-01-83;+7 (3412) 71-55-08; ,@2,@3,18151492396846,@#cashless,@131,@960 одноместный, 1460 двухместный"
"37.2374 115.10535,@Номер-ок,@отель,@426063, Ижевск, Ленина, 94а,  +7 (3412) 55-66-00; ,@4,@3,47370231114579,@#cashless,@82,@1327 одноместный, 1827 двухместный"
"37.2374 115.10636,@Мумы Дор,@отель,@426054, Ижевск, Полевская, 2,  +7 (3412) 77-57-14; +7-922-687-15-94,@1,@1,23640064851701,@#cashless,@49,@529 одноместный, 1029 двухместный"
"37.2374 115.10737,@На нас,@гостиница,@426052, Ижевск, Чернышевского, 24,  +7 (3412) 77-28-81; ,@5,@1,56761875869,@#cashless,@10,@877 одноместный, 1377 двухместный"
"37.2374 115.10838,@Мир,@отель,@426049, Ижевск, Гагарина, 67,  +7 (3412) 91-33-55; ,@2,@1,92550124965329,@#cashless,@124,@1253 одноместный, 1753 двухместный"
"37.2374 115.10939,@Камин,@гостиница,@426028, Ижевск, Колхозная, 1,  +7 (3412) 61-06-81; +7-904-316-83-00,@2,@3,3623019115703,@#cashless,@111,@1961 одноместный, 2461 двухместный"
"37.2374 115.11040,@Восход,@гостиница,@423450, Альметьевск, Шевченко, 48,  +7 (8553) 30-01-11; +7-987-402-46-56,@1,@2,25309034077774,@#cashless,@89,@2191 одноместный, 2691 двухместный"
"37.2374 115.11141,@Нефтяник,@база отдыха,@423452, Альметьевск, Ленина, 32,  +7 (8553) 37-07-19;+7 (8553) 37-07-23; ,@5,@2,37249060453297,@#cashless,@147,@853 одноместный, 1353 двухместный"
"37.2374 115.11242,@DE LUXE,@отель,@423458, Альметьевск, Ризы Фахретдина, 32,  +7 (8553) 43-97-97; +7-902-715-44-44,@1,@1,79442519691982,@#cashless,@137,@1696 одноместный, 2196 двухместный"
"37.2374 115.11343,@Viardo,@хостел,@423450, Альметьевск, Тимирязева, 17,  +7 (8553) 43-90-34; ,@3,@1,35866445028251,@#cashless,@29,@509 одноместный, 1009 двухместный"
"37.2374 115.11444,@Визит,@хостел,@423461, Альметьевск, Шевченко, 25,  +7 (8553) 33-68-30; ,@3,@3,72718481197652,@#cashless,@128,@610 одноместный, 1110 двухместный"
"37.2374 115.11545,@Ель,@хостел,@423458, Альметьевск, Шевченко, 9,  +7 (8553) 424-000; +7-939-310-40-00,@3,@3,01187188186808,@#cashless,@10,@1650 одноместный, 2150 двухместный"
"37.2374 115.11646,@Жара,@гостиница,@423450, Альметьевск, Ризы Фахретдина, 100,  +7 (8553) 40-32-32; +7-904-769-88-55,@4,@2,37112140227512,@#cashless,@30,@1854 одноместный, 2354 двухместный"
37.2374 115.11747,@Нарат,@гостиничный комплекс,@423450, Альметьевск, Объездной тракт, 77,  +7-950-320-03-37,@1,@1,93315652307813,@#cashless,@17,@2406 одноместный, 2906 двухместный
